EmployeeID,Name,Age,Department,Salary,Email,JoiningDate
1,Arjun,,Sales,58588,arjun1@company.com,2022-08-07
2,Divya,24.0,IT,73913,divya2@company.com,2023-08-04
3,Kavya,27.0,Support,85491,kavya3@company.com,2025-02-26
4,Pooja,58.0,Sales,77541,pooja4@company.com,2024-05-03
5,Rahul,25.0,Sales,97482,rahul5@company.com,2018-03-03
6,Arjun,48.0,HR,95751,arjun6@company.com,2019-08-10
7,Vikram,49.0,IT,86105,vikram7@company.com,2022-02-07
8,Rahul,,Support,33763,rahul8@company.com,2019-08-16
9,Kiran,33.0,Marketing,39552,kiran9@company.com,2021-05-13
10,Kavya,44.0,Finance,64894,kavya10@company.com,2020-02-16
11,Anjali,25.0,Finance,74476,anjali11@company.com,2025-07-19
12,Diya,31.0,Sales,47073,diya12@company.com,2022-12-24
13,Rahul,28.0,Finance,108231,rahul13@company.com,2020-09-15
14,Suresh,36.0,IT,89008,suresh14@company.com,2023-02-22
15,Suresh,25.0,IT,57709,suresh15@company.com,2018-08-07
16,Priya,35.0,IT,101101,,2022-12-01
17,Ravi,42.0,Finance,85646,ravi17@company.com,2021-03-08
18,Divya,43.0,IT,44234,divya18@company.com,2022-01-04
19,Sneha,57.0,Support,63022,sneha19@company.com,2021-08-11
20,Kiran,59.0,HR,42677,kiran20@company.com,2020-12-20
21,Rohan,,Finance,37792,rohan21@company.com,2023-11-26
22,Aarav,46.0,IT,45707,aarav22@company.com,2021-08-22
23,Priya,22.0,HR,-27643,priya23@company.com,2023-12-13
24,Suresh,39.0,Finance,45304,suresh24@company.com,2022-09-23
25,Anjali,56.0,Finance,57196,anjali25@company.com,2020-07-19
26,Vikram,32.0,IT,37065,vikram26@company.com,2020-07-21
27,Manoj,23.0,IT,90410,manoj27@company.com,2020-09-08
28,Suresh,46.0,Marketing,88524,suresh28@company.com,2024-12-16
29,Nikhil,28.0,IT,73573,nikhil29@company.com,2022-03-19
30,Manoj,22.0,Sales,55798,manoj30@company.com,2024-01-15
31,Meena,60.0,Finance,119806,meena31@company.com,2022-03-08
32,Nikhil,,Finance,40648,invalid_email,2020-03-01
33,Rahul,42.0,Sales,95241,rahul33@company.com,2025-05-26
34,Rohan,,Sales,85733,rohan34@company.com,2018-04-12
35,Vikram,53.0,Finance,75879,vikram35@company.com,2018-06-13
36,Meena,22.0,Finance,90987,meena36@company.com,2018-01-16
37,Priya,39.0,Support,82090,priya37@company.com,2021-05-20
38,Asha,38.0,Finance,92713,asha38@company.com,2022-05-23
39,Manoj,46.0,Support,34522,manoj39@company.com,2019-06-01
40,Asha,26.0,Finance,68522,asha40@company.com,2019-10-26
41,Anjali,47.0,HR,45721,anjali41@company.com,2024-07-18
42,Meena,150.0,HR,94621,meena42@company.com,2023-09-25
43,Kiran,42.0,HR,49026,kiran43@company.com,2018-03-05
44,Anjali,26.0,HR,101874,anjali44@company.com,2023-05-20
45,Manoj,21.0,HR,44961,manoj45@company.com,2023-09-20
46,Kavya,52.0,HR,39482,kavya46@company.com,2018-02-07
47,Ravi,29.0,Support,71348,ravi47@company.com,2022-07-18
48,Sneha,31.0,Support,40702,sneha48@company.com,2021-10-17
49,Pooja,44.0,IT,100880,pooja49@company.com,2024-09-21
50,Pooja,32.0,IT,108448,pooja50@company.com,2023-03-15
51,Divya,46.0,Marketing,47789,divya51@company.com,2024-11-17
52,Manoj,150.0,Sales,99215,manoj52@company.com,2021-12-22
53,Sneha,39.0,Sales,38133,sneha53@company.com,2021-06-27
54,Suresh,53.0,Support,60757,suresh54@company.com,2021-01-09
55,Sneha,-5.0,HR,105888,invalid_email,2025-09-19
56,Arjun,28.0,Sales,25316,arjun56@company.com,2025-03-02
57,Rahul,32.0,HR,67010,rahul57@company.com,2019-06-16
58,Priya,34.0,Sales,60982,priya58@company.com,2023-02-28
59,Priya,46.0,Finance,89321,priya59@company.com,2018-06-13
60,Asha,24.0,Finance,25147,asha60@company.com,2020-03-05
61,Asha,,IT,79228,asha61@company.com,2024-07-11
62,Meena,34.0,Marketing,53441,meena62@company.com,2018-10-25
63,Anjali,37.0,HR,52477,anjali63@company.com,2022-12-03
64,Sneha,39.0,IT,55715,sneha64@company.com,2018-01-01
65,Vikram,49.0,IT,37869,vikram65@company.com,2024-05-04
66,Arjun,,IT,32184,arjun66@company.com,2020-04-01
67,Meena,57.0,Support,79008,meena67@company.com,2019-10-12
68,Nikhil,54.0,Marketing,94802,nikhil68@company.com,2022-07-15
69,Sneha,51.0,HR,112132,sneha69@company.com,2022-08-22
70,Divya,40.0,Sales,57763,divya70@company.com,2022-05-23
71,Asha,-5.0,Sales,33014,asha71@company.com,2025-11-06
72,Arjun,58.0,HR,116241,arjun72@company.com,2025-09-20
73,Arjun,47.0,HR,55168,arjun73@company.com,2023-10-08
74,Sneha,41.0,Support,117830,sneha74@company.com,2023-11-10
75,Asha,50.0,Support,55596,asha75@company.com,2022-12-22
76,Rohan,31.0,Support,36590,rohan76@company.com,2025-02-10
77,Arjun,,Sales,64060,arjun77@company.com,2022-06-08
78,Diya,44.0,Finance,40994,diya78@company.com,2021-06-06
79,Kavya,39.0,HR,116853,kavya79@company.com,2018-06-25
80,Kiran,59.0,Finance,118142,kiran80@company.com,2020-07-01
81,Kavya,60.0,Finance,109215,kavya81@company.com,2019-02-14
82,Manoj,33.0,HR,114481,manoj82@company.com,2025-09-02
83,Divya,42.0,Finance,49874,divya83@company.com,2023-12-24
84,Suresh,56.0,HR,50069,suresh84@company.com,2019-03-18
85,Meena,51.0,Sales,29088,meena85@company.com,2021-02-05
86,Arjun,45.0,HR,62384,arjun86@company.com,2021-06-21
87,Ravi,32.0,IT,104051,ravi87@company.com,2019-10-02
88,Aarav,59.0,HR,39367,aarav88@company.com,2018-10-03
89,Aarav,38.0,IT,100697,aarav89@company.com,2020-03-04
90,Neha,33.0,HR,33961,neha90@company.com,2021-03-19
91,Sneha,28.0,IT,84338,sneha91@company.com,2019-11-06
92,Suresh,55.0,Support,37889,suresh92@company.com,2020-03-23
93,Priya,150.0,Support,52248,,2022-03-20
94,Aarav,30.0,Finance,82371,aarav94@company.com,2023-03-19
95,Vikram,26.0,Finance,109220,vikram95@company.com,2025-11-17
96,Kiran,23.0,HR,76739,kiran96@company.com,2019-06-08
97,Anjali,27.0,HR,102775,anjali97@company.com,2024-11-19
98,Pooja,37.0,Marketing,94421,pooja98@company.com,2019-08-11
99,Rohan,56.0,IT,103799,rohan99@company.com,2022-09-14
100,Divya,50.0,Marketing,97035,divya100@company.com,2021-04-06
101,Manoj,34.0,IT,41078,manoj101@company.com,2018-08-07
102,Nikhil,57.0,Sales,79936,nikhil102@company.com,2020-10-06
103,Sneha,33.0,HR,76200,sneha103@company.com,2025-02-10
